feature,importance,fold
ACTIVE_DAYS_CREDIT_MIN,1239,1
ACTIVE_DAYS_CREDIT_MAX,1733,1
ACTIVE_DAYS_CREDIT_MEAN,1529,1
ACTIVE_DAYS_CREDIT_VAR,1632,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,1993,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1453,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1540,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2092,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,92,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,62,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,830,1
ACTIVE_AMT_CREDIT_SUM_MAX,1114,1
ACTIVE_AMT_CREDIT_SUM_MEAN,1239,1
ACTIVE_AMT_CREDIT_SUM_SUM,1406,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,918,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1441,1
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,869,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,113,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,686,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,413,1
ACTIVE_AMT_ANNUITY_MAX,431,1
ACTIVE_AMT_ANNUITY_MEAN,378,1
ACTIVE_CNT_CREDIT_PROLONG_SUM,30,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,251,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,94,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,529,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,477,1
CLOSED_DAYS_CREDIT_MIN,1012,1
CLOSED_DAYS_CREDIT_MAX,1851,1
CLOSED_DAYS_CREDIT_MEAN,1123,1
CLOSED_DAYS_CREDIT_VAR,1688,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1078,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1854,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1265,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,1383,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,829,1
CLOSED_AMT_CREDIT_SUM_MAX,1107,1
CLOSED_AMT_CREDIT_SUM_MEAN,1583,1
CLOSED_AMT_CREDIT_SUM_SUM,1483,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,110,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,71,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,58,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,148,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,73,1
CLOSED_AMT_ANNUITY_MAX,372,1
CLOSED_AMT_ANNUITY_MEAN,294,1
CLOSED_CNT_CREDIT_PROLONG_SUM,12,1
CLOSED_MONTHS_BALANCE_MIN_MIN,315,1
CLOSED_MONTHS_BALANCE_MAX_MAX,198,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,700,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,434,1
PREV_AMT_ANNUITY_MIN,1194,1
PREV_AMT_ANNUITY_MAX,1019,1
PREV_AMT_ANNUITY_MEAN,1116,1
PREV_AMT_APPLICATION_MIN,613,1
PREV_AMT_APPLICATION_MAX,508,1
PREV_AMT_APPLICATION_MEAN,927,1
PREV_AMT_CREDIT_MIN,828,1
PREV_AMT_CREDIT_MAX,690,1
PREV_AMT_CREDIT_MEAN,1164,1
PREV_APP_CREDIT_PERC_MIN,1056,1
PREV_APP_CREDIT_PERC_MAX,741,1
PREV_APP_CREDIT_PERC_MEAN,1307,1
PREV_APP_CREDIT_PERC_VAR,1731,1
PREV_AMT_DOWN_PAYMENT_MIN,537,1
PREV_AMT_DOWN_PAYMENT_MAX,1003,1
PREV_AMT_DOWN_PAYMENT_MEAN,942,1
PREV_AMT_GOODS_PRICE_MIN,878,1
PREV_AMT_GOODS_PRICE_MAX,279,1
PREV_AMT_GOODS_PRICE_MEAN,864,1
PREV_HOUR_APPR_PROCESS_START_MIN,475,1
PREV_HOUR_APPR_PROCESS_START_MAX,575,1
PREV_HOUR_APPR_PROCESS_START_MEAN,1664,1
PREV_RATE_DOWN_PAYMENT_MIN,468,1
PREV_RATE_DOWN_PAYMENT_MAX,725,1
PREV_RATE_DOWN_PAYMENT_MEAN,980,1
PREV_DAYS_DECISION_MIN,819,1
PREV_DAYS_DECISION_MAX,1823,1
PREV_DAYS_DECISION_MEAN,1217,1
PREV_CNT_PAYMENT_MEAN,1401,1
PREV_CNT_PAYMENT_SUM,691,1
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,313,1
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,252,1
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,280,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,835,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,892,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,867,1
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,597,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,914,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,775,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,815,1
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,35,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,31,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,44,1
PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home_land_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,32,1
PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,45,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,18,1
PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,20,1
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,1,1
PREV_NAME_CASH_LOAN_PURPOSE_Gasification_water_supply_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,1,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,49,1
PREV_NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,174,1
